run,val_loss,val_accuracy,val_f1_macro,epochs,learning_rate,n_l1,n_l2,n_l3,n_l4,n_l5
1,6.000891208648682,0.8384615182876587,0.5641882483987747,25,0.01,80,50,40,,
1,22.660430908203125,0.8615384697914124,0.6270572996037793,27,0.001,80,50,40,,
1,35.22168731689453,0.7846153974533081,0.5755956538962826,36,0.0001,80,50,40,,
1,45.2387580871582,0.7384615540504456,0.5528417512886884,30,0.001,100,60,30,,
1,30.579423904418945,0.7076923251152039,0.5529411764705882,18,0.001,100,60,30,10.0,
1,7.834366321563721,0.7846153974533081,0.4996861268047709,40,0.001,10,80,40,20.0,10.0
1,31.705257415771484,0.6860465407371521,0.5986111111111111,40,0.001,80,60,40,20.0,
1,34.19209289550781,0.8139534592628479,0.6196995822288562,29,0.001,80,40,20,10.0,
1,26.41922950744629,0.7674418687820435,0.5388888888888889,36,0.001,100,60,30,10.0,
1,26.41922950744629,0.7674418687820435,0.5388888888888889,36,0.001,100,60,30,10.0,
1,23.51654815673828,0.8488371968269348,0.7512459658587929,32,0.001,100,60,30,10.0,
1,23.51654815673828,0.8488371968269348,0.7512459658587929,32,0.001,100,60,30,10.0,
1,23.51654815673828,0.8488371968269348,0.7512459658587929,32,0.001,100,60,30,10.0,
1,23.51654815673828,0.8488371968269348,0.7512459658587929,32,0.001,100,60,30,10.0,
1,37.8272590637207,0.8527131676673889,0.6452178074156402,27,0.001,100,60,30,10.0,
