date,open,MA,RSI,MACD,trend,issue_news,average_news,sentiment_std,sentiment_momentum,negative_sentiment_news,positive_sentiment_news,neutral_sentiment_news
2020-01-11,8198.86,7619.923,73.55318369990705,109.64786980369226,0,9,0.4444444444444444,0.18773572855680684,0.0444444444444444,0,4,5
2020-01-12,8020.01,7701.847,67.27795544225734,132.04255439220987,0,8,0.125,0.1838497059594515,-0.3194444444444444,1,2,5
2020-01-13,8184.97,7823.795,69.90890899009504,153.94719114585692,0,7,0.14285714285714285,0.1916782444220101,0.01785714285714285,0,1,6
2020-01-14,8110.34,7900.329000000001,67.19315716360865,172.85484330447446,0,6,0.3333333333333333,0.17899098507322303,0.19047619047619047,0,2,4
2020-01-15,8814.64,8046.373999999999,76.68879304935145,199.73559721446372,0,10,0.1,0.12954672726304034,-0.2333333333333333,1,2,7
2020-01-16,8820.01,8192.611,76.74581405122896,229.83504068452805,1,11,0.09090909090909091,0.14269496872504966,-0.009090909090909094,1,2,8
2020-01-17,8720.15,8288.736,73.0536032209509,258.2569853250187,1,9,0.5555555555555556,0.16458148260738756,0.46464646464646464,0,5,4
2020-01-18,8913.27,8365.471000000001,75.57825596709682,286.6300777941385,1,13,0.15384615384615385,0.16616848938720358,-0.4017094017094017,1,3,9
2020-01-19,8915.09,8451.508,75.60219206678671,312.860935387564,1,9,0.5555555555555556,0.18915638013164024,0.4017094017094017,0,5,4
2020-01-20,8701.72,8539.905999999999,67.04270572913933,332.2567496742038,1,7,0.2857142857142857,0.1851929279577163,-0.2698412698412699,0,2,5
2020-01-21,8642.35,8584.255000000001,64.77537722330847,344.6472365816228,0,11,0.36363636363636365,0.1788112721201188,0.07792207792207795,0,4,7
2020-01-22,8736.04,8655.858,66.74722973227793,352.7066386691264,0,13,0.15384615384615385,0.17641736466975977,-0.2097902097902098,0,2,11
2020-01-23,8682.77,8705.638,64.46733526820955,355.97513201096945,0,13,0.15384615384615385,0.17554506623460184,0.0,1,3,9
2020-01-24,8404.52,8735.056,53.80168492030768,350.81878117291524,0,4,0.25,0.17442279021865614,0.09615384615384615,0,1,3
2020-01-25,8438.99,8697.491,54.830312836572034,340.4025674029649,0,10,0.3,0.16441594110756597,0.04999999999999999,0,3,7
2020-01-26,8340.01,8649.491,51.193580547509974,324.8805941869392,0,5,0.6,0.1756307287970337,0.3,0,3,2
2020-01-27,8614.39,8638.915,59.47296315655608,310.6092214087731,0,13,0.23076923076923078,0.16010938442229605,-0.3692307692307692,0,3,10
2020-01-28,8907.57,8638.345,66.2668366198004,301.83940412439745,0,9,0.4444444444444444,0.15600199193587527,0.21367521367521364,0,4,5
2020-01-29,9375.34,8684.37,73.99511908929767,303.75262764733463,0,16,0.5,0.1480111775788495,0.05555555555555558,1,9,6
