Strategy,Total Return,CAGR,Avg Daily Return,Annualized Vol,Max Drawdown,Recovery Time (days),Sharpe Ratio,Sortino Ratio,Calmar Ratio
Walk Forward Portfolio,0.7409004871246201,0.9903068421582673,0.0020532652142886236,0.35117494265069354,-0.24325273096727718,54.0,2.1340981721489216,2.8448460291726847,4.07110266848961
Buy And Hold Portfolio,0.7117295658658367,0.9489870224125128,0.0021477812017217553,0.48445748633379615,-0.2809527676693755,44.0,1.6181814932018572,2.6093512697865777,3.3777457694571575
Dca Portfolio,0.32737169805071686,0.421329718554202,0.0011003725399687779,0.3172066915609005,-0.23108682292967353,44.0,1.2661648942909953,1.7701066421761265,1.82325289349114
