date,open_d-4,MA_d-4,RSI_d-4,MACD_d-4,trend_d-4,issue_news_d-4,average_news_d-4,sentiment_mean_d-4,sentiment_std_d-4,sentiment_momentum_d-4,sentiment_skew_d-4,sentiment_kurtosis_d-4,negative_sentiment_news_d-4,positive_sentiment_news_d-4,neutral_sentiment_news_d-4,open_d-3,MA_d-3,RSI_d-3,MACD_d-3,trend_d-3,issue_news_d-3,average_news_d-3,sentiment_mean_d-3,sentiment_std_d-3,sentiment_momentum_d-3,sentiment_skew_d-3,sentiment_kurtosis_d-3,negative_sentiment_news_d-3,positive_sentiment_news_d-3,neutral_sentiment_news_d-3,open_d-2,MA_d-2,RSI_d-2,MACD_d-2,trend_d-2,issue_news_d-2,average_news_d-2,sentiment_mean_d-2,sentiment_std_d-2,sentiment_momentum_d-2,sentiment_skew_d-2,sentiment_kurtosis_d-2,negative_sentiment_news_d-2,positive_sentiment_news_d-2,neutral_sentiment_news_d-2,open_d-1,MA_d-1,RSI_d-1,MACD_d-1,trend_d-1,issue_news_d-1,average_news_d-1,sentiment_mean_d-1,sentiment_std_d-1,sentiment_momentum_d-1,sentiment_skew_d-1,sentiment_kurtosis_d-1,negative_sentiment_news_d-1,positive_sentiment_news_d-1,neutral_sentiment_news_d-1,open_d0,MA_d0,RSI_d0,MACD_d0,trend_d0,issue_news_d0,average_news_d0,sentiment_mean_d0,sentiment_std_d0,sentiment_momentum_d0,sentiment_skew_d0,sentiment_kurtosis_d0,negative_sentiment_news_d0,positive_sentiment_news_d0,neutral_sentiment_news_d0,target_trend,signal,walk_forward_portfolio,buy_and_hold_portfolio,dca_portfolio
2024-08-09,58161.0,64736.641,26.916851937724584,681.0420507104261,-1.0,36.0,0.0555555555555555,0.3030600948758843,0.1838552235923792,-0.3194444444444444,-0.1966754793011476,-1.853757376960587,4.0,6.0,26.0,54018.82,63347.723,20.15909024270828,337.2842849240695,-1.0,25.0,0.32,0.289226761542551,0.1759066229165894,0.2644444444444445,-0.0243829071594024,-1.590635474446876,0.0,8.0,17.0,56022.0,62160.274,29.649679657960466,-19.00755236333947,-1.0,22.0,0.4090909090909091,0.2775042735042735,0.1616822326930072,0.0890909090909091,-0.1403337898440876,-1.557257865907435,1.0,10.0,11.0,55133.76,60848.662,28.00932344141428,-378.606124358021,-1.0,13.0,0.3846153846153846,0.2813504273504273,0.1639384696978197,-0.0244755244755244,-0.1940769122710752,-1.6520845188519293,1.0,6.0,6.0,61686.0,60338.794,50.469310349337725,-616.026459917978,-1.0,14.0,0.2857142857142857,0.2965885225885226,0.1555171960107696,-0.0989010989010989,-0.4763359583655536,-1.0201083368411408,1.0,5.0,8.0,-1,-1,10000.0,10000.0,10000.0
2024-08-10,54018.82,63347.723,20.15909024270828,337.2842849240695,-1.0,25.0,0.32,0.289226761542551,0.1759066229165894,0.2644444444444445,-0.0243829071594024,-1.590635474446876,0.0,8.0,17.0,56022.0,62160.274,29.649679657960466,-19.00755236333947,-1.0,22.0,0.4090909090909091,0.2775042735042735,0.1616822326930072,0.0890909090909091,-0.1403337898440876,-1.557257865907435,1.0,10.0,11.0,55133.76,60848.662,28.00932344141428,-378.606124358021,-1.0,13.0,0.3846153846153846,0.2813504273504273,0.1639384696978197,-0.0244755244755244,-0.1940769122710752,-1.6520845188519293,1.0,6.0,6.0,61686.0,60338.794,50.469310349337725,-616.026459917978,-1.0,14.0,0.2857142857142857,0.2965885225885226,0.1555171960107696,-0.0989010989010989,-0.4763359583655536,-1.0201083368411408,1.0,5.0,8.0,60837.99,59803.79299999999,48.30225827746367,-776.5473329198801,-1.0,10.0,-0.1,0.2740885225885226,0.1944929931500829,-0.3857142857142857,-0.889719755769722,-0.1465869271549311,3.0,2.0,5.0,-1,-1,10000.0,9862.527964205816,9988.54399701715
2024-08-11,56022.0,62160.274,29.649679657960466,-19.00755236333947,-1.0,22.0,0.4090909090909091,0.2775042735042735,0.1616822326930072,0.0890909090909091,-0.1403337898440876,-1.557257865907435,1.0,10.0,11.0,55133.76,60848.662,28.00932344141428,-378.606124358021,-1.0,13.0,0.3846153846153846,0.2813504273504273,0.1639384696978197,-0.0244755244755244,-0.1940769122710752,-1.6520845188519293,1.0,6.0,6.0,61686.0,60338.794,50.469310349337725,-616.026459917978,-1.0,14.0,0.2857142857142857,0.2965885225885226,0.1555171960107696,-0.0989010989010989,-0.4763359583655536,-1.0201083368411408,1.0,5.0,8.0,60837.99,59803.79299999999,48.30225827746367,-776.5473329198801,-1.0,10.0,-0.1,0.2740885225885226,0.1944929931500829,-0.3857142857142857,-0.889719755769722,-0.1465869271549311,3.0,2.0,5.0,60923.51,59433.34299999999,48.54980274813751,-877.3200130661023,-1.0,1.0,0.0,0.2220885225885226,0.1909216776448061,0.1,-0.5988836618892478,-1.4091908252570111,0.0,0.0,1.0,-1,-1,10000.0,9876.391725837306,9989.699310486441
2024-08-12,55133.76,60848.662,28.00932344141428,-378.606124358021,-1.0,13.0,0.3846153846153846,0.2813504273504273,0.1639384696978197,-0.0244755244755244,-0.1940769122710752,-1.6520845188519293,1.0,6.0,6.0,61686.0,60338.794,50.469310349337725,-616.026459917978,-1.0,14.0,0.2857142857142857,0.2965885225885226,0.1555171960107696,-0.0989010989010989,-0.4763359583655536,-1.0201083368411408,1.0,5.0,8.0,60837.99,59803.79299999999,48.30225827746367,-776.5473329198801,-1.0,10.0,-0.1,0.2740885225885226,0.1944929931500829,-0.3857142857142857,-0.889719755769722,-0.1465869271549311,3.0,2.0,5.0,60923.51,59433.34299999999,48.54980274813751,-877.3200130661023,-1.0,1.0,0.0,0.2220885225885226,0.1909216776448061,0.1,-0.5988836618892478,-1.4091908252570111,0.0,0.0,1.0,58712.59,58769.2,42.67946069784744,-968.6353605815762,-1.0,13.0,0.3076923076923077,0.2437668442668442,0.1866310237913998,0.3076923076923077,-1.017275124503242,-0.5905901220896718,0.0,4.0,9.0,-1,-1,10000.0,9517.976526278248,9959.831377189854
2024-08-13,61686.0,60338.794,50.469310349337725,-616.026459917978,-1.0,14.0,0.2857142857142857,0.2965885225885226,0.1555171960107696,-0.0989010989010989,-0.4763359583655536,-1.0201083368411408,1.0,5.0,8.0,60837.99,59803.79299999999,48.30225827746367,-776.5473329198801,-1.0,10.0,-0.1,0.2740885225885226,0.1944929931500829,-0.3857142857142857,-0.889719755769722,-0.1465869271549311,3.0,2.0,5.0,60923.51,59433.34299999999,48.54980274813751,-877.3200130661023,-1.0,1.0,0.0,0.2220885225885226,0.1909216776448061,0.1,-0.5988836618892478,-1.4091908252570111,0.0,0.0,1.0,58712.59,58769.2,42.67946069784744,-968.6353605815762,-1.0,13.0,0.3076923076923077,0.2437668442668442,0.1866310237913998,0.3076923076923077,-1.017275124503242,-0.5905901220896718,0.0,4.0,9.0,59346.64,58554.02999999999,44.80601113748163,-1036.9125204574082,-1.0,8.0,0.125,0.2162668442668442,0.1812348126110918,-0.1826923076923077,-0.6650697260220302,-1.110902090228554,1.0,2.0,5.0,0,-1,10000.0,9620.76322017962,9968.396935014967
2024-08-14,60837.99,59803.79299999999,48.30225827746367,-776.5473329198801,-1.0,10.0,-0.1,0.2740885225885226,0.1944929931500829,-0.3857142857142857,-0.889719755769722,-0.1465869271549311,3.0,2.0,5.0,60923.51,59433.34299999999,48.54980274813751,-877.3200130661023,-1.0,1.0,0.0,0.2220885225885226,0.1909216776448061,0.1,-0.5988836618892478,-1.4091908252570111,0.0,0.0,1.0,58712.59,58769.2,42.67946069784744,-968.6353605815762,-1.0,13.0,0.3076923076923077,0.2437668442668442,0.1866310237913998,0.3076923076923077,-1.017275124503242,-0.5905901220896718,0.0,4.0,9.0,59346.64,58554.02999999999,44.80601113748163,-1036.9125204574082,-1.0,8.0,0.125,0.2162668442668442,0.1812348126110918,-0.1826923076923077,-0.6650697260220302,-1.110902090228554,1.0,2.0,5.0,60587.16,58542.947,48.92518371575477,-1065.015483641495,0.0,7.0,0.4285714285714285,0.2216239871239871,0.1871436013426338,0.3035714285714285,-0.5933946383949645,-1.1540781030437015,1.0,4.0,2.0,0,0,10000.0,9821.865577278475,9985.155464773206
2024-08-15,60923.51,59433.34299999999,48.54980274813751,-877.3200130661023,-1.0,1.0,0.0,0.2220885225885226,0.1909216776448061,0.1,-0.5988836618892478,-1.4091908252570111,0.0,0.0,1.0,58712.59,58769.2,42.67946069784744,-968.6353605815762,-1.0,13.0,0.3076923076923077,0.2437668442668442,0.1866310237913998,0.3076923076923077,-1.017275124503242,-0.5905901220896718,0.0,4.0,9.0,59346.64,58554.02999999999,44.80601113748163,-1036.9125204574082,-1.0,8.0,0.125,0.2162668442668442,0.1812348126110918,-0.1826923076923077,-0.6650697260220302,-1.110902090228554,1.0,2.0,5.0,60587.16,58542.947,48.92518371575477,-1065.015483641495,0.0,7.0,0.4285714285714285,0.2216239871239871,0.1871436013426338,0.3035714285714285,-0.5933946383949645,-1.1540781030437015,1.0,4.0,2.0,58683.39,58595.186,43.401924880434144,-1094.4109876185046,0.0,15.0,-0.1333333333333333,0.2027350982350982,0.2134511710645602,-0.5619047619047619,-0.6404060247386306,-1.316735110903332,4.0,2.0,9.0,1,0,10000.0,9513.242875206692,9959.436906267223
2024-08-16,58712.59,58769.2,42.67946069784744,-968.6353605815762,-1.0,13.0,0.3076923076923077,0.2437668442668442,0.1866310237913998,0.3076923076923077,-1.017275124503242,-0.5905901220896718,0.0,4.0,9.0,59346.64,58554.02999999999,44.80601113748163,-1036.9125204574082,-1.0,8.0,0.125,0.2162668442668442,0.1812348126110918,-0.1826923076923077,-0.6650697260220302,-1.110902090228554,1.0,2.0,5.0,60587.16,58542.947,48.92518371575477,-1065.015483641495,0.0,7.0,0.4285714285714285,0.2216239871239871,0.1871436013426338,0.3035714285714285,-0.5933946383949645,-1.1540781030437015,1.0,4.0,2.0,58683.39,58595.186,43.401924880434144,-1094.4109876185046,0.0,15.0,-0.1333333333333333,0.2027350982350982,0.2134511710645602,-0.5619047619047619,-0.6404060247386306,-1.316735110903332,4.0,2.0,9.0,57541.05,58947.40900000001,40.36387968872325,-1138.8066537356033,1.0,12.0,0.1666666666666666,0.1874017649017649,0.2095634047034857,0.3,-0.426832044936064,-1.3667917734905604,1.0,3.0,8.0,1,0,10000.0,9328.056609279254,9944.004717439937
2024-08-17,59346.64,58554.02999999999,44.80601113748163,-1036.9125204574082,-1.0,8.0,0.125,0.2162668442668442,0.1812348126110918,-0.1826923076923077,-0.6650697260220302,-1.110902090228554,1.0,2.0,5.0,60587.16,58542.947,48.92518371575477,-1065.015483641495,0.0,7.0,0.4285714285714285,0.2216239871239871,0.1871436013426338,0.3035714285714285,-0.5933946383949645,-1.1540781030437015,1.0,4.0,2.0,58683.39,58595.186,43.401924880434144,-1094.4109876185046,0.0,15.0,-0.1333333333333333,0.2027350982350982,0.2134511710645602,-0.5619047619047619,-0.6404060247386306,-1.316735110903332,4.0,2.0,9.0,57541.05,58947.40900000001,40.36387968872325,-1138.8066537356033,1.0,12.0,0.1666666666666666,0.1874017649017649,0.2095634047034857,0.3,-0.426832044936064,-1.3667917734905604,1.0,3.0,8.0,58874.59,59232.668000000005,45.32774909057446,-1166.4054141298425,1.0,7.0,0.5714285714285714,0.2036355311355311,0.2335585924908564,0.4047619047619047,-0.0708192621673984,-1.02061978458322,0.0,4.0,3.0,1,0,10000.0,9544.238563045099,9962.019880253758
2024-08-18,60587.16,58542.947,48.92518371575477,-1065.015483641495,0.0,7.0,0.4285714285714285,0.2216239871239871,0.1871436013426338,0.3035714285714285,-0.5933946383949645,-1.1540781030437015,1.0,4.0,2.0,58683.39,58595.186,43.401924880434144,-1094.4109876185046,0.0,15.0,-0.1333333333333333,0.2027350982350982,0.2134511710645602,-0.5619047619047619,-0.6404060247386306,-1.316735110903332,4.0,2.0,9.0,57541.05,58947.40900000001,40.36387968872325,-1138.8066537356033,1.0,12.0,0.1666666666666666,0.1874017649017649,0.2095634047034857,0.3,-0.426832044936064,-1.3667917734905604,1.0,3.0,8.0,58874.59,59232.668000000005,45.32774909057446,-1166.4054141298425,1.0,7.0,0.5714285714285714,0.2036355311355311,0.2335585924908564,0.4047619047619047,-0.0708192621673984,-1.02061978458322,0.0,4.0,3.0,59491.99,59668.491,47.57259926108359,-1169.52069651386,1.0,8.0,0.5,0.2151739926739926,0.2460111504315231,-0.0714285714285714,-0.0491044291768939,-1.258949655767562,1.0,5.0,2.0,-1,0,10000.0,9644.326103167656,9970.360508597303
