Tweet_count,Username,Text,Created At,Retweets,Likes
61,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"So let’s be clear, the bourgeoisie wants to:
- Eliminate cash and replace with CBDCs
- Track all spend over $600
- Print unlimited amounts of money
- Tax unrealised gains
- Remove privacy from the Internet

What else did I miss?",Mon Nov 01 20:15:42 +0000 2021,598,4397
60,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@PeterSchiff So it costs more than Strike? Cool story.,Wed Sep 01 19:20:56 +0000 2021,2,178
59,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,Crypto is a war of narratives driven by incentives.,Wed Sep 01 19:44:10 +0000 2021,16,255
58,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"A statist and a libertarian walked into a bar…
…awesome chat with my buddy @stephanlivera",Wed Sep 01 14:21:12 +0000 2021,4,168
57,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Obviously we’re here making Part 1 of our film series.

Thanks again to @NYDIG_BTC for funding this.",Wed Sep 01 19:03:03 +0000 2021,19,319
56,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"I think it is fair to criticise the authoritarian encroachment by the Australian state, lack of privacy, growth in surveillance and attack on the free press.

That said… it’s not this. https://t.co/SRBE1OQ6M4",Wed Sep 01 17:32:58 +0000 2021,13,380
55,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Bitcoin protest outside congress in San Salvador, I reckon there is like 1,000 people. 

While the signs say “No Bitcoin”, people really seem to be protesting about the lack of information. https://t.co/km638z3U4r",Wed Sep 01 16:06:51 +0000 2021,51,692
53,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@elonmusk Meanwhile this is what other people are working on…,Thu Jul 01 09:55:56 +0000 2021,175,2789
52,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Uyghur prison camps doo, doo, doo, doo, doo,
Uyghur prison camps doo, doo, doo, doo, doo,
Uyghur prison camps doo, doo, doo, doo, doo,
Uyghur prison camps",Thu Jul 01 23:12:22 +0000 2021,359,3679
51,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@RoarerBull @EricRWeinstein https://t.co/MAz9xSfSaI,Thu Jul 01 23:03:09 +0000 2021,0,4
49,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"You can complain as much as you want about volatility and the level of SoV v MoE. You can’t say that #bitcoin does not have a use case when it is being used.

FYI #bitcoin has many other use cases beyond these two.",Thu Jul 01 14:52:23 +0000 2021,15,365
48,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"I keep thinking about @valkenburgh’s testimony yesterday and people who claim #bitcoin has no use case.

If you can’t offer something better than #bitcoin you are lying, intellectually dishonest and working against human freedom.",Thu Jul 01 14:52:23 +0000 2021,17,450
50,Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@GazzaZxc @adamcurry @EricRWeinstein Like this https://t.co/bGAXMUXYOG,Thu Jul 01 16:56:30 +0000 2021,2,13
