model,precision,recall,f1_score,trend_change_precision,trend_change_recall,trend_change_f1_score
lightGBM,0.92989417989418,0.8031727226144202,0.828363337033439,0.5454545454545454,0.5294117647058824,0.5373134328358209
histGradientBoosting,0.8359397013243167,0.7324895368584357,0.736232068361676,0.4444444444444444,0.4705882352941176,0.4571428571428571
Multiclass Neural Network,0.6942546855841654,0.6723206252536231,0.679897160019507,0.3389830508474576,0.5882352941176471,0.4301075268817204
Naive Model,0.8204115307282104,0.8191358810416688,0.8197619593750796,0.2352941176470588,0.2352941176470588,0.2352941176470588
Random Forest,0.8865773951857165,0.6593188051511185,0.6125981850072447,0.48,0.3529411764705882,0.4067796610169492
Regresion Logistic,0.8195531011913894,0.7743339436605927,0.7837000873223784,0.358974358974359,0.4117647058823529,0.3835616438356164
SVM,0.8307112322455569,0.7980567441162169,0.8066776135741653,0.3269230769230769,0.5,0.3953488372093023
XGBClassifier,0.8381157604827211,0.7476911461206143,0.760536398467433,0.4722222222222222,0.5,0.4857142857142857
GradientBoosting,0.8430017318906208,0.774980716487213,0.7869101687700627,0.4,0.4117647058823529,0.4057971014492754
